"id","rank","title","fullTitle","year","image","crew","imDbRating","imDbRatingCount"
"tt0172495","40","Gladiator","Gladiator (2000)","2000","https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX128_CR0,3,128,176_AL_.jpg","Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix","8.5","1359833"
"tt0054215","41","Psycho","Psycho (1960)","1960","https://m.media-amazon.com/images/M/MV5BNTQwNDM1YzItNDAxZC00NWY2LTk0M2UtNDIwNWI5OGUyNWUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,3,128,176_AL_.jpg","Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh","8.5","612822"
"tt0407887","42","The Departed","The Departed (2006)","2006","https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_UX128_CR0,3,128,176_AL_.jpg","Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon","8.5","1207223"
"tt0021749","43","City Lights","City Lights (1931)","1931","https://m.media-amazon.com/images/M/MV5BY2I4MmM1N2EtM2YzOS00OWUzLTkzYzctNDc5NDg2N2IyODJmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,3,128,176_AL_.jpg","Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill","8.5","170343"
"tt2582802","44","Whiplash","Whiplash (2014)","2014","https://m.media-amazon.com/images/M/MV5BOTA5NDZlZGUtMjAxOS00YTRkLTkwYmMtYWQ0NWEwZDZiNjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX128_CR0,3,128,176_AL_.jpg","Damien Chazelle (dir.), Miles Teller, J.K. Simmons","8.5","733216"
"tt1675434","45","The Intouchables","The Intouchables (2011)","2011","https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_UX128_CR0,3,128,176_AL_.jpg","Olivier Nakache (dir.), Fran<U+00E7>ois Cluzet, Omar Sy","8.5","774292"
"tt0095327","46","Grave of the Fireflies","Grave of the Fireflies (1988)","1988","https://m.media-amazon.com/images/M/MV5BZmY2NjUzNDQtNTgxNC00M2Q4LTljOWQtMjNjNDBjNWUxNmJlXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX128_CR0,3,128,176_AL_.jpg","Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi","8.5","240978"
"tt0482571","47","The Prestige","The Prestige (2006)","2006","https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_UX128_CR0,3,128,176_AL_.jpg","Christopher Nolan (dir.), Christian Bale, Hugh Jackman","8.5","1209151"
"tt0064116","48","Once Upon a Time in the West","Once Upon a Time in the West (1968)","1968","https://m.media-amazon.com/images/M/MV5BZGI5MjBmYzYtMzJhZi00NGI1LTk3MzItYjBjMzcxM2U3MDdiXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,3,128,176_AL_.jpg","Sergio Leone (dir.), Henry Fonda, Charles Bronson","8.4","306644"
"tt0034583","49","Casablanca","Casablanca (1942)","1942","https://m.media-amazon.com/images/M/MV5BY2IzZGY2YmEtYzljNS00NTM5LTgwMzUtMzM1NjQ4NGI0OTk0XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UX128_CR0,3,128,176_AL_.jpg","Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman","8.4","528581"
"tt0095765","50","Cinema Paradiso","Cinema Paradiso (1988)","1988","https://m.media-amazon.com/images/M/MV5BM2FhYjEyYmYtMDI1Yy00YTdlLWI2NWQtYmEzNzAxOGY1NjY2XkEyXkFqcGdeQXVyNTA3NTIyNDg@._V1_UX128_CR0,3,128,176_AL_.jpg","Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale","8.4","234977"
"tt0047396","51","Rear Window","Rear Window (1954)","1954","https://m.media-amazon.com/images/M/MV5BNGUxYWM3M2MtMGM3Mi00ZmRiLWE0NGQtZjE5ODI2OTJhNTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX128_CR0,3,128,176_AL_.jpg","Alfred Hitchcock (dir.), James Stewart, Grace Kelly","8.4","449954"
"tt0078748","52","Alien","Alien (1979)","1979","https://m.media-amazon.com/images/M/MV5BMmQ2MmU3NzktZjAxOC00ZDZhLTk4YzEtMDMyMzcxY2IwMDAyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,3,128,176_AL_.jpg","Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt","8.4","799065"
"tt0078788","53","Apocalypse Now","Apocalypse Now (1979)","1979","https://m.media-amazon.com/images/M/MV5BMDdhODg0MjYtYzBiOS00ZmI5LWEwZGYtZDEyNDU4MmQyNzFkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,3,128,176_AL_.jpg","Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando","8.4","614863"
"tt0209144","54","Memento","Memento (2000)","2000","https://m.media-amazon.com/images/M/MV5BZTcyNjk1MjgtOWI3Mi00YzQwLWI5MTktMzY4ZmI2NDAyNzYzXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX128_CR0,3,128,176_AL_.jpg","Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss","8.4","1139995"
"tt0032553","55","The Great Dictator","The Great Dictator (1940)","1940","https://m.media-amazon.com/images/M/MV5BMmExYWJjNTktNGUyZS00ODhmLTkxYzAtNWIzOGEyMGNiMmUwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX128_CR0,3,128,176_AL_.jpg","Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard","8.4","206002"
"tt0082971","56","Indiana Jones and the Raiders of the Lost Ark","Indiana Jones and the Raiders of the Lost Ark (1981)","1981","https://m.media-amazon.com/images/M/MV5BMjA0ODEzMTc1Nl5BMl5BanBnXkFtZTcwODM2MjAxNA@@._V1_UX128_CR0,3,128,176_AL_.jpg","Steven Spielberg (dir.), Harrison Ford, Karen Allen","8.4","893864"
"tt1853728","57","Django Unchained","Django Unchained (2012)","2012","https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_UX128_CR0,3,128,176_AL_.jpg","Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz","8.4","1381215"
"tt0405094","58","The Lives of Others","The Lives of Others (2006)","2006","https://m.media-amazon.com/images/M/MV5BOThkM2EzYmMtNDE3NS00NjlhLTg4YzktYTdhNzgyOWY3ZDYzXkEyXkFqcGdeQXVyNzQzNzQxNzI@._V1_UX128_CR0,1,128,176_AL_.jpg","Florian Henckel von Donnersmarck (dir.), Ulrich M¨¹he, Martina Gedeck","8.4","363796"
"tt0050825","59","Paths of Glory","Paths of Glory (1957)","1957","https://m.media-amazon.com/images/M/MV5BNjViMmRkOTEtM2ViOS00ODg0LWJhYWEtNTBlOGQxNDczOGY3XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX128_CR0,1,128,176_AL_.jpg","Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker","8.4","181157"
"tt8503618","60","Hamilton","Hamilton (2020)","2020","https://m.media-amazon.com/images/M/MV5BNjViNWRjYWEtZTI0NC00N2E3LTk0NGQtMjY4NTM3OGNkZjY0XkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_UX128_CR0,3,128,176_AL_.jpg","Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo","8.4","62554"
"tt0910970","61","WALL¡¤E","WALL¡¤E (2008)","2008","https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_UX128_CR0,3,128,176_AL_.jpg","Andrew Stanton (dir.), Ben Burtt, Elissa Knight","8.4","1014229"
"tt7286456","62","Joker","Joker (2019)","2019","https://m.media-amazon.com/images/M/MV5BNGVjNWI4ZGUtNzE0MS00YTJmLWE0ZDctN2ZiYTk2YmI3NTYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro","8.4","983668"
"tt0081505","63","The Shining","The Shining (1980)","1980","https://m.media-amazon.com/images/M/MV5BZWFlYmY2MGEtZjVkYS00YzU4LTg0YjQtYzY1ZGE3NTA5NGQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX128_CR0,3,128,176_AL_.jpg","Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall","8.4","912553"
"tt4154756","64","Avengers: Infinity War","Avengers: Infinity War (2018)","2018","https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_UX128_CR0,3,128,176_AL_.jpg","Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth","8.4","866999"
"tt0043014","65","Sunset Blvd.","Sunset Blvd. (1950)","1950","https://m.media-amazon.com/images/M/MV5BMTU0NTkyNzYwMF5BMl5BanBnXkFtZTgwMDU0NDk5MTI@._V1_UX128_CR0,3,128,176_AL_.jpg","Billy Wilder (dir.), William Holden, Gloria Swanson","8.4","204497"
"tt0051201","66","Witness for the Prosecution","Witness for the Prosecution (1957)","1957","https://m.media-amazon.com/images/M/MV5BNDQwODU5OWYtNDcyNi00MDQ1LThiOGMtZDkwNWJiM2Y3MDg0XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","Billy Wilder (dir.), Tyrone Power, Marlene Dietrich","8.4","111185"
"tt4633694","67","Spider-Man: Into the Spider-Verse","Spider-Man: Into the Spider-Verse (2018)","2018","https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_UX128_CR0,3,128,176_AL_.jpg","Bob Persichetti (dir.), Shameik Moore, Jake Johnson","8.3","393550"
"tt0364569","68","Oldboy","Oldboy (2003)","2003","https://m.media-amazon.com/images/M/MV5BMTI3NTQyMzU5M15BMl5BanBnXkFtZTcwMTM2MjgyMQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","Chan-wook Park (dir.), Choi Min-sik, Yoo Ji-Tae","8.3","524015"
"tt0119698","69","Princess Mononoke","Princess Mononoke (1997)","1997","https://m.media-amazon.com/images/M/MV5BNGIzY2IzODQtNThmMi00ZDE4LWI5YzAtNzNlZTM1ZjYyYjUyXkEyXkFqcGdeQXVyODEzNjM5OTQ@._V1_UX128_CR0,3,128,176_AL_.jpg","Hayao Miyazaki (dir.), Y<U+00F4>ji Matsuda, Yuriko Ishida","8.3","350334"
"tt0057012","70","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)","1964","https://m.media-amazon.com/images/M/MV5BZWI3ZTMxNjctMjdlNS00NmUwLWFiM2YtZDUyY2I3N2MxYTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,3,128,176_AL_.jpg","Stanley Kubrick (dir.), Peter Sellers, George C. Scott","8.3","455761"
"tt1345836","71","The Dark Knight Rises","The Dark Knight Rises (2012)","2012","https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_UX128_CR0,3,128,176_AL_.jpg","Christopher Nolan (dir.), Christian Bale, Tom Hardy","8.3","1537667"
"tt0087843","72","Once Upon a Time in America","Once Upon a Time in America (1984)","1984","https://m.media-amazon.com/images/M/MV5BMGFkNWI4MTMtNGQ0OC00MWVmLTk3MTktOGYxN2Y2YWVkZWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX128_CR0,3,128,176_AL_.jpg","Sergio Leone (dir.), Robert De Niro, James Woods","8.3","316667"
