"id","rank","rankUpDown","title","fullTitle","year","image","crew","imDbRating","imDbRatingCount"
"tt9893250","46","-6","I Care a Lot","I Care a Lot (2020)","2020","https://m.media-amazon.com/images/M/MV5BYWU2ZTRhNDMtMWYxMC00ZTVkLThjZmItZGY4MGU0YmZlMjJlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","J Blakeson (dir.), Rosamund Pike, Peter Dinklage","6.3","88594"
"tt10618286","47","+18","Mank","Mank (2020)","2020","https://m.media-amazon.com/images/M/MV5BZTllMjI0ZGYtM2FmZC00ZmY4LTlkNTYtZThlOWQ1OGQyZTA3XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","David Fincher (dir.), Gary Oldman, Amanda Seyfried","7.0","54823"
"tt1201607","48","+133","Harry Potter and the Deathly Hallows: Part 2","Harry Potter and the Deathly Hallows: Part 2 (2011)","2011","https://m.media-amazon.com/images/M/MV5BMGVmMWNiMDktYjQ0Mi00MWIxLTk0N2UtN2ZlYTdkN2IzNDNlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UX128_CR0,3,128,176_AL_.jpg","David Yates (dir.), Daniel Radcliffe, Emma Watson","8.1","777381"
"tt9784798","49","-5","Judas and the Black Messiah","Judas and the Black Messiah (2021)","2021","https://m.media-amazon.com/images/M/MV5BOTYwNWNmM2UtNDhlOC00ZGQzLWI1MTMtMmZlMTFjM2Y1N2ZhXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_UX128_CR0,3,128,176_AL_.jpg","Shaka King (dir.), Daniel Kaluuya, LaKeith Stanfield","7.6","38177"
"tt11655202","50","+136","Riders of Justice","Riders of Justice (2020)","2020","https://m.media-amazon.com/images/M/MV5BZWVkNTFmNTQtMGRiZC00NjAwLThjYTgtYmI3ZjA2Zjc1MTM1XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX128_CR0,3,128,176_AL_.jpg","Anders Thomas Jensen (dir.), Mads Mikkelsen, Nikolaj Lie Kaas","7.8","5481"
"tt0974015","51","-23","Justice League","Justice League (2017)","2017","https://m.media-amazon.com/images/M/MV5BYWVhZjZkYTItOGIwYS00NmRkLWJlYjctMWM0ZjFmMDU4ZjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX128_CR0,3,128,176_AL_.jpg","Zack Snyder (dir.), Ben Affleck, Gal Gadot","6.2","410616"
"tt0110366","52","+260","The Little Rascals","The Little Rascals (1994)","1994","https://m.media-amazon.com/images/M/MV5BYWE1MzdmNmMtNWQwZS00MTVkLTk3MDMtYzVkOWZlOTczMDIwXkEyXkFqcGdeQXVyNjg4NzYzMzA@._V1_UX128_CR0,3,128,176_AL_.jpg","Penelope Spheeris (dir.), Travis Tedford, Bug Hall","6.3","43868"
"tt3228774","53","+7","Cruella","Cruella (2021)","2021","https://m.media-amazon.com/images/M/MV5BOWI5YTUxOWEtZmRiZS00ZmQxLWE2NzctYTRiODA2NzE1ZjczXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","Craig Gillespie (dir.), Emma Stone, Emma Thompson","","0"
"tt2948372","54","-11","Soul","Soul (2020)","2020","https://m.media-amazon.com/images/M/MV5BZGE1MDg5M2MtNTkyZS00MTY5LTg1YzUtZTlhZmM1Y2EwNmFmXkEyXkFqcGdeQXVyNjA3OTI0MDc@._V1_UX128_CR0,3,128,176_AL_.jpg","Pete Docter (dir.), Jamie Foxx, Tina Fey","8.1","225143"
"tt10886166","55","-13","365 Days","365 Days (2020)","2020","https://m.media-amazon.com/images/M/MV5BODljZTM3ODAtMDc0YS00NmI4LTlmZTUtM2I5MDAzNTQxZmMxXkEyXkFqcGdeQXVyMTEwMTY3NDI@._V1_UX128_CR0,1,128,176_AL_.jpg","Barbara Bialowas (dir.), Anna Maria Sieklucka, Michele Morrone","3.2","56749"
